lab_id,candidate_exploit_family,port,rank_score,family_risk_prior,evidence_source_count,has_zap_evidence,has_nuclei_evidence,has_wapiti_evidence,has_nikto_evidence,zap_finding_count,nuclei_finding_count,nikto_finding_count,wapiti_finding_count,observed_title_count,observed_tech_count,service_product_count,service_version_count,product_Damn Vulnerable Web Application,product_OWASP Juice Shop,product_OWASP Mutillidae / NOWASP,product_OWASP WebGoat,product_bWAPP,candidate_exploit_family_auth-bypass,candidate_exploit_family_broken-access-control,candidate_exploit_family_bruteforce,candidate_exploit_family_command-injection,candidate_exploit_family_csrf,candidate_exploit_family_deserialization,candidate_exploit_family_file-inclusion,candidate_exploit_family_file-upload,candidate_exploit_family_generic-web,candidate_exploit_family_jwt,candidate_exploit_family_nosql-injection,candidate_exploit_family_sensitive-data-exposure,candidate_exploit_family_sqli,candidate_exploit_family_ssrf,candidate_exploit_family_xss,candidate_exploit_family_xxe,observed_tech_text_Apache HTTP Server:2.4.25 | Debian | PHP,observed_tech_text_Apache HTTP Server:2.4.7 | PHP:5.5.9 | Ubuntu | bun,observed_tech_text_Bootstrap,observed_tech_text_none,service_products_text_Apache Tomcat,service_products_text_Apache httpd,service_products_text_none,service_versions_text_2.4.25,service_versions_text_2.4.7,service_versions_text_none,evidence_sources_text_lab-catalog-prior,evidence_sources_text_lab-catalog-prior | zap,evidence_sources_text_zap,label_is_recommended,label_is_top1
bwapp,command-injection,25003,0.815,0.95,2,1,0,0,0,18,0,0,0,0,4,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
bwapp,sqli,25003,0.72,0.92,1,0,0,0,0,18,0,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0
bwapp,xss,25003,0.65,0.55,2,1,0,0,0,18,0,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
bwapp,xxe,25003,0.585,0.82,1,0,0,0,0,18,0,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
bwapp,ssrf,25003,0.5,0.66,1,0,0,0,0,18,0,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
bwapp,file-inclusion,25003,0.495,0.74,1,0,0,0,0,18,0,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
bwapp,csrf,25003,0.36,0.35,1,0,0,0,0,18,0,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
bwapp,generic-web,25003,0.21,0.2,1,1,0,0,0,18,0,0,0,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
dvwa,command-injection,25002,0.85,0.95,2,1,0,0,0,20,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1
dvwa,sqli,25002,0.795,0.92,2,1,0,0,0,20,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0
dvwa,file-upload,25002,0.61,0.78,1,0,0,0,0,20,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
dvwa,xss,25002,0.58,0.55,2,1,0,0,0,20,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
dvwa,file-inclusion,25002,0.565,0.74,1,0,0,0,0,20,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
dvwa,auth-bypass,25002,0.42,0.7,1,1,0,0,0,20,0,0,0,1,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
dvwa,csrf,25002,0.395,0.35,1,0,0,0,0,20,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
dvwa,bruteforce,25002,0.35,0.3,1,0,0,0,0,20,0,0,0,1,3,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0
dvwa,generic-web,25002,0.21,0.2,1,1,0,0,0,20,0,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0
mutillidae-nowasp,sqli,25004,0.83,0.92,2,1,0,0,0,40,0,0,0,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
mutillidae-nowasp,command-injection,25004,0.78,0.95,2,1,0,0,0,40,0,0,0,1,4,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0
mutillidae-nowasp,xss,25004,0.685,0.55,2,1,0,0,0,40,0,0,0,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
mutillidae-nowasp,auth-bypass,25004,0.62,0.7,2,1,0,0,0,40,0,0,0,1,4,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
mutillidae-nowasp,file-inclusion,25004,0.565,0.74,1,0,0,0,0,40,0,0,0,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
mutillidae-nowasp,csrf,25004,0.395,0.35,1,0,0,0,0,40,0,0,0,1,4,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
mutillidae-nowasp,sensitive-data-exposure,25004,0.35,0.34,1,0,0,0,0,40,0,0,0,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0
mutillidae-nowasp,generic-web,25004,0.21,0.2,1,1,0,0,0,40,0,0,0,1,4,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
owasp-juice-shop,nosql-injection,25000,0.7,0.88,1,0,0,0,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1
owasp-juice-shop,sqli,25000,0.685,0.92,1,0,0,0,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0
owasp-juice-shop,xss,25000,0.65,0.55,2,1,0,0,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
owasp-juice-shop,broken-access-control,25000,0.525,0.62,1,0,0,0,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
owasp-juice-shop,auth-bypass,25000,0.51,0.7,1,0,0,0,0,9,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
owasp-juice-shop,command-injection,25000,0.51,0.95,1,1,0,0,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
owasp-juice-shop,ssrf,25000,0.43,0.66,1,0,0,0,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
owasp-juice-shop,sensitive-data-exposure,25000,0.385,0.34,1,0,0,0,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0
owasp-juice-shop,generic-web,25000,0.21,0.2,1,1,0,0,0,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0
owasp-webgoat,sqli,25001,0.72,0.92,1,0,0,0,0,3,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,1
owasp-webgoat,xxe,25001,0.655,0.82,1,0,0,0,0,3,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0
owasp-webgoat,jwt,25001,0.57,0.68,1,0,0,0,0,3,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
owasp-webgoat,deserialization,25001,0.55,0.82,1,0,0,0,0,3,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
owasp-webgoat,xss,25001,0.545,0.55,2,1,0,0,0,3,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
owasp-webgoat,broken-access-control,25001,0.525,0.62,1,0,0,0,0,3,0,0,0,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
