target_id,url,protocol_kind,port,candidate_family,title,server,x_powered_by,http_status,nmap_service_line,compose_exit,nmap_exit,scan_success,has_nmap,has_probe,has_nikto,has_wapiti,text_mentions_family,scan_mode
adminer_CVE-2021-21311,http://127.0.0.1:8080,http,8080,adminer,Login - Adminer,Apache/2.4.54 (Debian),PHP/7.4.33,HTTP/1.1 200 OK,,0,0,1,1,1,0,0,1,fast_fingerprint_wave3
apache_druid_CVE-2021-25646,http://127.0.0.1:8888,http,8888,druid,Apache Druid,,,HTTP/1.1 405 Method Not Allowed,,0,0,1,1,1,0,0,1,fast_fingerprint_wave3
appweb_CVE-2018-8715,http://127.0.0.1:8080,http,8080,appweb,Unauthorized,,,,,0,124,1,1,1,0,0,0,fast_fingerprint
aria2_rce,rpc://127.0.0.1:6800,nonhttp,6800,aria2,,,,,6800/tcp open  http    aria2 downloader JSON-RPC,0,0,1,1,0,0,0,1,fast_fingerprint_wave5
couchdb_CVE-2017-12635,http://127.0.0.1:5984,http,5984,couchdb,,CouchDB/2.1.0 (Erlang OTP/17),,HTTP/1.1 200 OK,,0,0,1,1,1,0,0,1,fast_fingerprint_wave2
couchdb_CVE-2017-12636,http://127.0.0.1:5984,http,5984,couchdb,,CouchDB/1.6.0 (Erlang OTP/17),,HTTP/1.1 200 OK,,0,0,1,1,1,0,0,1,fast_fingerprint_wave4
drupal_CVE-2018-7600,http://127.0.0.1:8080,http,8080,drupal,Choose language | Drupal,Apache/2.4.25 (Debian),PHP/7.2.3,,,0,0,1,1,1,0,0,1,fast_fingerprint
elasticsearch_CVE-2015-1427,http://127.0.0.1:18108,http,18108,elasticsearch,,,,HTTP/1.1 200 OK,,0,0,1,1,1,0,0,0,fast_fingerprint_wave2
flask_ssti,http://127.0.0.1:8000,http,8000,flask,,gunicorn/20.0.0,,,,0,0,1,1,0,0,0,0,fast_fingerprint
goahead_CVE-2017-17562,http://127.0.0.1:8080,http,8080,goahead,Home Page,,,HTTP/1.1 302 Redirect,,0,124,1,1,1,0,0,0,fast_fingerprint_wave3
gogs_CVE-2018-18925,http://127.0.0.1:3000,http,3000,gogs,Installation - Gogs,,,HTTP/1.1 302 Found,,0,0,1,1,1,0,0,1,fast_fingerprint_wave4
grafana_CVE-2021-43798,http://127.0.0.1:3000,http,3000,grafana,Grafana,,,HTTP/1.1 302 Found,,0,0,1,1,1,0,0,1,fast_fingerprint_wave3
jenkins_CVE-2018-1000861,http://127.0.0.1:8080,http,8080,jenkins,Starting Jenkins,Jetty(9.4.z-SNAPSHOT),,HTTP/1.1 503 Service Unavailable,,0,0,1,1,1,0,0,1,fast_fingerprint_wave4
jetty_CVE-2021-28164,http://127.0.0.1:8080,http,8080,jetty,Example Domain,Jetty(9.4.37.v20210219),,HTTP/1.1 200 OK,8080/tcp open  http    Jetty 9.4.37.v20210219,0,0,1,1,1,0,0,1,fast_fingerprint_wave5
joomla_CVE-2023-23752,,http,,joomla,,Apache/2.4.54 (Debian),PHP/7.4.33,,,,0,1,1,0,1,1,0,full_or_mixed
nextjs_CVE-2025-29927,http://127.0.0.1:3000,http,3000,nextjs,Admin Dashboard,,,,,0,0,1,1,1,1,0,0,
nexus_CVE-2019-7238,http://127.0.0.1:8081,http,8081,nexus,,,,,,0,0,1,1,0,0,0,0,fast_fingerprint_retry
nginx_CVE-2017-7529,http://127.0.0.1:8080,http,8080,nginx,Welcome to nginx!,nginx/1.13.2,,,,0,0,1,1,1,1,0,1,
phpmyadmin_CVE-2018-12613,http://127.0.0.1:8080,http,8080,phpmyadmin,Access denied!,Apache/2.4.25 (Debian),PHP/7.2.5,,,0,0,1,1,1,0,0,0,fast_fingerprint
rails_CVE-2018-3760,http://127.0.0.1:3000,http,3000,rails,Ruby on Rails,,,HTTP/1.1 200 OK,,0,0,1,1,1,0,0,1,fast_fingerprint_wave4
rails_CVE-2019-5418,http://127.0.0.1:3000,http,3000,rails,Ruby on Rails,,,HTTP/1.1 200 OK,,0,0,1,1,1,0,0,1,fast_fingerprint_wave2
redis_CVE-2022-0543,redis://127.0.0.1:6379,nonhttp,6379,redis,,,,,6379/tcp open  redis   Redis key-value store 5.0.7,0,0,1,1,1,0,0,1,fast_fingerprint_wave5
shiro_CVE-2016-4437,http://127.0.0.1:8080,http,8080,shiro,Login Page,,,,,0,124,1,1,1,0,0,0,fast_fingerprint
solr_CVE-2017-12629-RCE,http://127.0.0.1:8983,http,8983,solr,Solr Admin,,,,,0,0,1,1,1,0,0,1,fast_fingerprint
spring_CVE-2022-22965,http://127.0.0.1:8080,http,8080,spring,,,,,,0,0,1,1,1,0,0,0,fast_fingerprint
struts2_s2-045,http://127.0.0.1:8080,http,8080,struts2,Struts2 Showcase - Fileupload sample,Jetty(9.2.11.v20150529),,,,0,0,1,1,1,0,0,1,fast_fingerprint
thinkphp_5-rce,http://127.0.0.1:8080,http,8080,thinkphp,,Apache/2.4.38 (Debian),PHP/7.2.31,,,0,0,1,1,0,0,0,0,fast_fingerprint
tomcat_CVE-2017-12615,http://127.0.0.1:8080,http,8080,tomcat,Apache Tomcat/8.5.19,,,,,0,0,1,1,1,0,0,1,fast_fingerprint
webmin_CVE-2019-15107,https://127.0.0.1:10000,http,10000,webmin,Login to Webmin,MiniServ/1.910,,HTTP/1.0 200 Document follows,,0,0,1,1,1,0,0,1,fast_fingerprint_wave2
