target_id,candidate_family,positive_family,label,title_alias_score,server_alias_score,nmap_alias_score,body_alias_score,evidence_alias_score,port_score,protocol_score,http_tool_score,scan_depth_score,heuristic_score
adminer_CVE-2021-21311,adminer,adminer,positive_family_match,1.0,0.0,0.0,1.0,1.0,1.0,0.25,0.15,0.1,7.000000000000001
adminer_CVE-2021-21311,appweb,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.1,1.1
adminer_CVE-2021-21311,aria2,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adminer_CVE-2021-21311,couchdb,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
adminer_CVE-2021-21311,druid,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
adminer_CVE-2021-21311,drupal,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.1,1.1
adminer_CVE-2021-21311,elasticsearch,adminer,negative_family,0.0,0.0,0.0,1.0,1.0,0.0,0.25,0.15,0.1,3.8000000000000003
adminer_CVE-2021-21311,flask,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
adminer_CVE-2021-21311,goahead,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.1,1.1
adminer_CVE-2021-21311,gogs,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
adminer_CVE-2021-21311,grafana,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
adminer_CVE-2021-21311,jenkins,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.1,1.1
adminer_CVE-2021-21311,jetty,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.1,1.1
adminer_CVE-2021-21311,joomla,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.1,1.1
adminer_CVE-2021-21311,nextjs,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
adminer_CVE-2021-21311,nexus,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
adminer_CVE-2021-21311,nginx,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.1,1.1
adminer_CVE-2021-21311,phpmyadmin,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.1,1.1
adminer_CVE-2021-21311,rails,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
adminer_CVE-2021-21311,redis,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adminer_CVE-2021-21311,shiro,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.1,1.1
adminer_CVE-2021-21311,solr,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
adminer_CVE-2021-21311,spring,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.1,1.1
adminer_CVE-2021-21311,struts2,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.1,1.1
adminer_CVE-2021-21311,thinkphp,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.1,1.1
adminer_CVE-2021-21311,tomcat,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.1,1.1
adminer_CVE-2021-21311,webmin,adminer,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
apache_druid_CVE-2021-25646,adminer,druid,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.1,0.4
