target_id,candidate_family,positive_family,label,title_alias_score,server_alias_score,nmap_alias_score,body_alias_score,evidence_alias_score,port_score,protocol_score,http_tool_score,scan_depth_score,heuristic_score
aria2_rce,aria2,aria2,positive_family_match,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.7
aria2_rce,goahead,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
aria2_rce,grafana,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
aria2_rce,joomla,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
aria2_rce,nginx,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
aria2_rce,redis,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6
aria2_rce,shiro,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
aria2_rce,tomcat,aria2,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
goahead_CVE-2017-17562,aria2,goahead,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goahead_CVE-2017-17562,goahead,goahead,positive_family_match,0.0,0.0,0.0,1.0,1.0,1.0,0.25,0.15,0.2,4.600000000000001
goahead_CVE-2017-17562,grafana,goahead,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.2,0.5
goahead_CVE-2017-17562,joomla,goahead,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.2,1.2
goahead_CVE-2017-17562,nginx,goahead,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.2,1.2
goahead_CVE-2017-17562,redis,goahead,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goahead_CVE-2017-17562,shiro,goahead,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.2,1.2
goahead_CVE-2017-17562,tomcat,goahead,negative_family,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.15,0.2,1.2
grafana_CVE-2021-43798,aria2,grafana,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grafana_CVE-2021-43798,goahead,grafana,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.2,0.5
grafana_CVE-2021-43798,grafana,grafana,positive_family_match,1.0,0.0,0.0,1.0,1.0,1.0,0.25,0.15,0.2,7.100000000000001
grafana_CVE-2021-43798,joomla,grafana,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.2,0.5
grafana_CVE-2021-43798,nginx,grafana,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.2,0.5
grafana_CVE-2021-43798,redis,grafana,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grafana_CVE-2021-43798,shiro,grafana,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.2,0.5
grafana_CVE-2021-43798,tomcat,grafana,negative_family,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.15,0.2,0.5
