lab_id,product,cve,known_exploit_family,relative_vulhub_path,ports,why_pick
"activemq-cve-2022-41678","activemq","CVE-2022-41678","command-injection","activemq/CVE-2022-41678","61616;8161;5005","เพิ่ม product/family ที่ Dec ยังไม่มีชัด: activemq/command-injection"
"coldfusion-cve-2017-3066","coldfusion","CVE-2017-3066","deserialization","coldfusion/CVE-2017-3066","8500","เพิ่ม product/family ที่ Dec ยังไม่มีชัด: coldfusion/deserialization"
"airflow-cve-2020-17526","airflow","cve-2020-17526","auth-bypass","airflow/CVE-2020-17526","8080;5555","เพิ่ม product/family ที่ Dec ยังไม่มีชัด: airflow/auth-bypass"
"confluence-cve-2019-3396","confluence","CVE-2019-3396","file-inclusion","confluence/CVE-2019-3396","8090","เพิ่ม product/family ที่ Dec ยังไม่มีชัด: confluence/file-inclusion"
"1panel-cve-2024-39907","1panel","CVE-2024-39907","sqli","1panel/CVE-2024-39907","10086","เพิ่ม product/family ที่ Dec ยังไม่มีชัด: 1panel/sqli"
"apache-cxf-cve-2024-28752","apache-cxf","CVE-2024-28752","ssrf","apache-cxf/CVE-2024-28752","8080","เพิ่ม product/family ที่ Dec ยังไม่มีชัด: apache-cxf/ssrf"
"apache-druid-cve-2021-25646","apache-druid","cve-2021-25646","auth-bypass","apache-druid/CVE-2021-25646","8888","เพิ่ม product/family ที่ Dec ยังไม่มีชัด: apache-druid/auth-bypass"
"apisix-cve-2020-13945","apisix","CVE-2020-13945","command-injection","apisix/CVE-2020-13945","9080;9091;9443;2379","เพิ่ม product/family ที่ Dec ยังไม่มีชัด: apisix/command-injection"
"bash-cve-2014-6271","bash","CVE-2014-6271","command-injection","bash/CVE-2014-6271","8080","เพิ่ม product/family ที่ Dec ยังไม่มีชัด: bash/command-injection"
"budibase-cve-2026-31816","budibase","CVE-2026-31816","auth-bypass","budibase/CVE-2026-31816","10000","เพิ่ม product/family ที่ Dec ยังไม่มีชัด: budibase/auth-bypass"
"cacti-cve-2022-46169","cacti","CVE-2022-46169","auth-bypass","cacti/CVE-2022-46169","8080","เพิ่ม product/family ที่ Dec ยังไม่มีชัด: cacti/auth-bypass"
"cgi-cve-2016-5385","cgi","CVE-2016-1000104","generic-web","cgi/CVE-2016-5385","8080","เพิ่ม product/family ที่ Dec ยังไม่มีชัด: cgi/generic-web"
"chartbrew-cve-2026-25887","chartbrew","CVE-2026-25887","command-injection","chartbrew/CVE-2026-25887","4018;4019","เพิ่ม product/family ที่ Dec ยังไม่มีชัด: chartbrew/command-injection"
"cmsms-cve-2019-9053","cmsms","CVE-2019-9053","sqli","cmsms/CVE-2019-9053","80","เพิ่ม product/family ที่ Dec ยังไม่มีชัด: cmsms/sqli"
"comfyui-cve-2025-67303","comfyui","CVE-2025-67303","command-injection","comfyui/CVE-2025-67303","8188","เพิ่ม product/family ที่ Dec ยังไม่มีชัด: comfyui/command-injection"
"craftcms-cve-2023-41892","craftcms","CVE-2023-41892","file-inclusion","craftcms/CVE-2023-41892","8088","เพิ่ม product/family ที่ Dec ยังไม่มีชัด: craftcms/file-inclusion"
"cups-browsed-cve-2024-47177","cups-browsed","CVE-2024-47177","command-injection","cups-browsed/CVE-2024-47177","631;631","เพิ่ม product/family ที่ Dec ยังไม่มีชัด: cups-browsed/command-injection"
"dataease-cve-2024-56511","dataease","CVE-2024-56511","file-inclusion","dataease/CVE-2024-56511","8100;5005","เพิ่ม product/family ที่ Dec ยังไม่มีชัด: dataease/file-inclusion"
"django-cve-2017-12794","django","CVE-2017-12794","xss","django/CVE-2017-12794","8000","เพิ่ม product/family ที่ Dec ยังไม่มีชัด: django/xss"
"dubbo-cve-2019-17564","dubbo","CVE-2019-17564","deserialization","dubbo/CVE-2019-17564","8080;2181","เพิ่ม product/family ที่ Dec ยังไม่มีชัด: dubbo/deserialization"
