lab_id,product,target_url,port,candidate_exploit_family,rank,rank_score,is_top1,is_recommended,family_risk_prior,evidence_source_count,has_zap_evidence,has_nuclei_evidence,has_wapiti_evidence,has_nikto_evidence,zap_finding_count,nuclei_finding_count,nikto_finding_count,wapiti_finding_count,observed_title_count,observed_tech_count,service_product_count,service_version_count,observed_titles_text,observed_tech_text,service_products_text,service_versions_text,evidence_sources_text,label_source,label_warning
bwapp,bWAPP,http://127.0.0.1:25003,25003,command-injection,1,0.815,1,1,0.95,2,1,0,0,0,18,0,0,0,0,4,1,1,none,Apache HTTP Server:2.4.7 | PHP:5.5.9 | Ubuntu | bun,Apache httpd,2.4.7,lab-catalog-prior | zap,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
bwapp,bWAPP,http://127.0.0.1:25003,25003,sqli,2,0.72,0,1,0.92,1,0,0,0,0,18,0,0,0,0,4,1,1,none,Apache HTTP Server:2.4.7 | PHP:5.5.9 | Ubuntu | bun,Apache httpd,2.4.7,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
bwapp,bWAPP,http://127.0.0.1:25003,25003,xss,3,0.65,0,0,0.55,2,1,0,0,0,18,0,0,0,0,4,1,1,none,Apache HTTP Server:2.4.7 | PHP:5.5.9 | Ubuntu | bun,Apache httpd,2.4.7,lab-catalog-prior | zap,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
bwapp,bWAPP,http://127.0.0.1:25003,25003,xxe,4,0.585,0,0,0.82,1,0,0,0,0,18,0,0,0,0,4,1,1,none,Apache HTTP Server:2.4.7 | PHP:5.5.9 | Ubuntu | bun,Apache httpd,2.4.7,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
bwapp,bWAPP,http://127.0.0.1:25003,25003,ssrf,5,0.5,0,0,0.66,1,0,0,0,0,18,0,0,0,0,4,1,1,none,Apache HTTP Server:2.4.7 | PHP:5.5.9 | Ubuntu | bun,Apache httpd,2.4.7,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
bwapp,bWAPP,http://127.0.0.1:25003,25003,file-inclusion,6,0.495,0,0,0.74,1,0,0,0,0,18,0,0,0,0,4,1,1,none,Apache HTTP Server:2.4.7 | PHP:5.5.9 | Ubuntu | bun,Apache httpd,2.4.7,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
bwapp,bWAPP,http://127.0.0.1:25003,25003,csrf,7,0.36,0,0,0.35,1,0,0,0,0,18,0,0,0,0,4,1,1,none,Apache HTTP Server:2.4.7 | PHP:5.5.9 | Ubuntu | bun,Apache httpd,2.4.7,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
bwapp,bWAPP,http://127.0.0.1:25003,25003,generic-web,8,0.21,0,0,0.2,1,1,0,0,0,18,0,0,0,0,4,1,1,none,Apache HTTP Server:2.4.7 | PHP:5.5.9 | Ubuntu | bun,Apache httpd,2.4.7,zap,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
dvwa,Damn Vulnerable Web Application,http://127.0.0.1:25002,25002,command-injection,1,0.85,1,1,0.95,2,1,0,0,0,20,0,0,0,1,3,1,1,Login :: Damn Vulnerable Web Application (DVWA) v1.10 *Development*,Apache HTTP Server:2.4.25 | Debian | PHP,Apache httpd,2.4.25,lab-catalog-prior | zap,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
dvwa,Damn Vulnerable Web Application,http://127.0.0.1:25002,25002,sqli,2,0.795,0,1,0.92,2,1,0,0,0,20,0,0,0,1,3,1,1,Login :: Damn Vulnerable Web Application (DVWA) v1.10 *Development*,Apache HTTP Server:2.4.25 | Debian | PHP,Apache httpd,2.4.25,lab-catalog-prior | zap,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
dvwa,Damn Vulnerable Web Application,http://127.0.0.1:25002,25002,file-upload,3,0.61,0,0,0.78,1,0,0,0,0,20,0,0,0,1,3,1,1,Login :: Damn Vulnerable Web Application (DVWA) v1.10 *Development*,Apache HTTP Server:2.4.25 | Debian | PHP,Apache httpd,2.4.25,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
dvwa,Damn Vulnerable Web Application,http://127.0.0.1:25002,25002,xss,4,0.58,0,0,0.55,2,1,0,0,0,20,0,0,0,1,3,1,1,Login :: Damn Vulnerable Web Application (DVWA) v1.10 *Development*,Apache HTTP Server:2.4.25 | Debian | PHP,Apache httpd,2.4.25,lab-catalog-prior | zap,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
dvwa,Damn Vulnerable Web Application,http://127.0.0.1:25002,25002,file-inclusion,5,0.565,0,0,0.74,1,0,0,0,0,20,0,0,0,1,3,1,1,Login :: Damn Vulnerable Web Application (DVWA) v1.10 *Development*,Apache HTTP Server:2.4.25 | Debian | PHP,Apache httpd,2.4.25,lab-catalog-prior,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
dvwa,Damn Vulnerable Web Application,http://127.0.0.1:25002,25002,auth-bypass,6,0.42,0,0,0.7,1,1,0,0,0,20,0,0,0,1,3,1,1,Login :: Damn Vulnerable Web Application (DVWA) v1.10 *Development*,Apache HTTP Server:2.4.25 | Debian | PHP,Apache httpd,2.4.25,zap,heuristic rank: lab prior + passive scanner signals + exploit-family risk weight,demo label from ranking heuristic; replace with exploit_success_observed when validation exists
