lab_id,candidate_exploit_family,rank_score,exposed_port_count,has_http_port_hint,image_count,compose_service_count,label_is_recommended,label_is_known_family,product__1panel,product__activemq,product__adminer,product__airflow,product__apache-druid,product__apisix,product__cacti,product__cmsms,product__coldfusion,product__confluence,product__couchdb,product__craftcms,product__django,product__drupal,product__elasticsearch,product__flask,product__flink,product__geoserver,product__gitlab,product__grafana,product__h2database,product__httpd,product__jenkins,product__jira,product__joomla,product__jupyter,product__kibana,product__laravel,product__log4j,product__magento,product__metabase,product__mongo-express,product__n8n,product__nacos,product__next-js,product__nexus,product__nginx,product__nginx-ui,product__ofbiz,product__openfire,product__php,product__phpmyadmin,product__phpunit,product__redis,product__rocketchat,product__rocketmq,product__shiro,product__showdoc,product__solr,product__spring,product__struts2,product__teamcity,product__thinkphp,product__tomcat,product__weblogic,product__webmin,product__wordpress,product__zabbix,candidate_exploit_family__auth-bypass,candidate_exploit_family__broken-access-control,candidate_exploit_family__command-injection,candidate_exploit_family__deserialization,candidate_exploit_family__file-inclusion,candidate_exploit_family__file-upload,candidate_exploit_family__nosql-injection,candidate_exploit_family__sensitive-data-exposure,candidate_exploit_family__sqli,candidate_exploit_family__xss,known_exploit_family__auth-bypass,known_exploit_family__command-injection,known_exploit_family__deserialization,known_exploit_family__file-inclusion,known_exploit_family__file-upload,known_exploit_family__nosql-injection,known_exploit_family__sqli
1panel-cve-2024-39907,sqli,0.96,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1panel-cve-2024-39907,auth-bypass,0.78,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1panel-cve-2024-39907,sensitive-data-exposure,0.6,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1panel-cve-2024-39907,xss,0.42,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
activemq-cve-2015-5254,deserialization,0.96,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
activemq-cve-2015-5254,command-injection,0.78,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activemq-cve-2015-5254,auth-bypass,0.6,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
activemq-cve-2015-5254,file-inclusion,0.42,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
activemq-cve-2016-3088,file-upload,0.96,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
activemq-cve-2016-3088,command-injection,0.78,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
